movie_title,title_year
The Fast and the Furious: Tokyo Drift ,2006
Arthur Christmas ,2011
Meet Joe Black ,1998
Collateral Damage ,2002
All That Jazz ,1979
Mirror Mirror ,2012
Scott Pilgrim vs. the World ,2010
The Core ,2003
Nutty Professor II: The Klumps ,2000
Scooby-Doo ,2002
Click ,2006
Cats & Dogs: The Revenge of Kitty Galore ,2010
Jumper ,2008
Hellboy II: The Golden Army ,2008
Zodiac ,2007
The 6th Day ,2000
Bruce Almighty ,2003
The Expendables ,2010
Mission: Impossible ,1996
The Hunger Games ,2012
The Hangover Part II ,2011
Batman Returns ,1992
Over the Hedge ,2006
Lilo & Stitch ,2002
Last Man Standing ,0
Charlotte's Web ,2006
Deep Impact ,1998
RED 2 ,2013
The Longest Yard ,2005
Alvin and the Chipmunks: Chipwrecked ,2011
Grown Ups 2 ,2013
Get Smart ,2008
Something's Gotta Give ,2003
Shutter Island ,2010
Four Christmases ,2008
Robots ,2005
Face/Off ,1997
Bedtime Stories ,2008
Road to Perdition ,2002
Just Go with It ,2011
Con Air ,1997
Eagle Eye ,2008
Cold Mountain ,2003
The Book of Eli ,2010
Flubber ,1997
The Haunting ,1999
Space Jam ,1996
The Pink Panther ,2006
Conspiracy Theory ,1997
Fury ,2014
Six Days Seven Nights ,1998
Yogi Bear ,2010
Spirit: Stallion of the Cimarron ,2002
Zookeeper ,2011
Lost in Space ,1998
The Manchurian Candidate ,2004
Déjà Vu ,1997
Hotel Transylvania 2 ,2015
Fantasia 2000 ,1999
The Time Machine ,2002
Mighty Joe Young ,1998
Swordfish ,2001
The Legend of Zorro ,2005
What Dreams May Come ,1998
The Missing ,0
Little Nicky ,2000
The Brothers Grimm ,2005
Mars Attacks! ,1996
Evolution ,2015
The Edge ,1997
Surrogates ,2009
Thirteen Days ,2000
Daylight ,1996
Walking with Dinosaurs 3D ,2013
Battlefield Earth ,2000
Looney Tunes: Back in Action ,2003
Nine ,2009
Timeline ,2003
The Postman ,1997
Babe: Pig in the City ,1998
The Last Witch Hunter ,2015
Red Planet ,2000
Arthur and the Invisibles ,2006
Oceans ,2009
A Sound of Thunder ,2005
Pompeii ,2014
Top Cat Begins ,2015
A Beautiful Mind ,2001
The Lion King ,1994
Journey 2: The Mysterious Island ,2012
Cloudy with a Chance of Meatballs 2 ,2013
Red Dragon ,2002
Hidalgo ,2004
Jack and Jill ,2011
2 Fast 2 Furious ,2003
The Little Prince ,2015
The Invasion ,2007
The Adventures of Rocky & Bullwinkle ,2000
The Secret Life of Pets ,2016
The League of Extraordinary Gentlemen ,2003
Despicable Me 2 ,2013
Independence Day ,1996
The Lost World: Jurassic Park ,1997
Madagascar ,2005
Children of Men ,2006
X-Men ,2000
Wanted ,2008
The Rock ,1996
Ice Age: The Meltdown ,2006
50 First Dates ,2004
Hairspray ,2007
Exorcist: The Beginning ,2004
Inspector Gadget ,1999
Now You See Me ,2013
Grown Ups ,2010
The Terminal ,2004
Hotel for Dogs ,2009
Vertical Limit ,2000
Charlie Wilson's War ,2007
Shark Tale ,2004
Dreamgirls ,2006
Be Cool ,2005
Munich ,2005
Tears of the Sun ,2003
Killers ,2010
The Man from U.N.C.L.E. ,2015
Spanglish ,2004
Monster House ,2006
Bandits ,2001
First Knight ,1995
Anna and the King ,1999
Immortals ,2011
Hostage ,2005
Titan A.E. ,2000
Hollywood Homicide ,2003
Soldier ,1998
Rules of Engagement ,0
Carriers ,2009
Monkeybone ,2001
Flight of the Phoenix ,2004
Unbreakable ,2000
Minions ,2015
Sucker Punch ,2011
Snake Eyes ,1998
Sphere ,1998
The Angry Birds Movie ,2016
Fool's Gold ,2008
Funny People ,2009
The Kingdom ,2007
Talladega Nights: The Ballad of Ricky Bobby ,2006
Dr. Dolittle 2 ,2001
Braveheart ,1995
Jarhead ,2005
The Simpsons Movie ,2007
The Majestic ,2001
Driven ,2001
Two Brothers ,2004
The Village ,2004
Doctor Dolittle ,1998
Signs ,2002
Shrek 2 ,2004
Cars ,2006
Runaway Bride ,1999
xXx ,2002
The SpongeBob Movie: Sponge Out of Water ,2015
Ransom ,1996
Inglourious Basterds ,2009
Hook ,1991
Die Hard 2 ,1990
S.W.A.T. ,2003
Vanilla Sky ,2001
